model,delta,expected_mean,pred_mean,response_ratio,ire_mae,ire_rmse,response_slope,response_corr,sign_accuracy_on_nonzero_true,causal_gain_scaled,num_windows,num_batches,num_test_windows,pred_abs_mean
iTransformer,-1.0,-1.0000768880220405,0.02240802682354115,-0.022406304047141726,1.0224849246442318,1.0227358192600913,-0.022406306117773056,nan,0.126953125,1.0000768880220405,1024,32,1905,0.026457082392880693
iTransformer,-0.5,-0.5000384440110203,0.014857276226393878,-0.029712267935275875,0.5148957204073668,0.5150060912924774,-0.029712272807955742,nan,0.0537109375,1.0000768880220405,1024,32,1905,0.015869008610025048
iTransformer,-0.25,-0.25001922200551013,0.007855525152990595,-0.03141968481454385,0.25787474401295185,0.25791919642576017,-0.03141968697309494,nan,0.0361328125,1.0000768880220405,1024,32,1905,0.00820877859950997
iTransformer,-0.1,-0.10000768880220406,0.003156089391268324,-0.0315584674445428,0.10316378041170537,0.10317972573025953,-0.03155846148729324,nan,0.0341796875,1.0000768880220405,1024,32,1905,0.0032767911252449267
iTransformer,0.1,0.10000768880220406,-0.0030543118191417307,-0.03054076997202256,0.10306200198829174,0.10307730377538946,-0.030540768057107925,nan,0.0400390625,1.0000768880220405,1024,32,1905,0.003168845229083672
iTransformer,0.25,0.25001922200551013,-0.0072790556732797995,-0.02911398417646215,0.2572982795536518,0.25733900480116695,-0.02911398746073246,nan,0.048828125,1.0000768880220405,1024,32,1905,0.0076370648021111265
iTransformer,0.5,0.5000384440110203,-0.01284564689558465,-0.025689318590275324,0.5128840859979391,0.5129832313081344,-0.025689322501420975,nan,0.0849609375,1.0000768880220405,1024,32,1905,0.014177720295265317
iTransformer,1.0,1.0000768880220405,-0.01761831592011731,-0.017616961386801914,1.017695214599371,1.0179352920593419,-0.017616963014006615,nan,0.19140625,1.0000768880220405,1024,32,1905,0.023802558367606252
iTransformer_CRR_FT01,-1.0,-1.0000768880220405,-1.4613578133285046,1.4612454610552883,0.4755423218011856,0.5239984760975616,1.4612455368041992,nan,1.0,1.0000768880220405,1024,32,1905,1.4613578133285046
iTransformer_CRR_FT01,-0.5,-0.5000384440110203,-0.7464480511844158,1.4927813253653852,0.2556513948366046,0.2833821078462137,1.492781639099121,nan,0.9990234375,1.0000768880220405,1024,32,1905,0.7465030737221241
iTransformer_CRR_FT01,-0.25,-0.25001922200551013,-0.3758736914023757,1.5033791737584556,0.13059585774317384,0.14485499607183927,1.5033793449401855,nan,0.998046875,1.0000768880220405,1024,32,1905,0.3759322315454483
iTransformer_CRR_FT01,-0.1,-0.10000768880220406,-0.1507471518125385,1.5073556205332104,0.05258504278026521,0.05833899903292503,1.5073554515838623,nan,0.998046875,1.0000768880220405,1024,32,1905,0.15076662343926728
iTransformer_CRR_FT01,0.1,0.10000768880220406,0.1509773803409189,1.5096577288124622,0.05267861648462713,0.05843538260081202,1.509657621383667,nan,0.998046875,1.0000768880220405,1024,32,1905,0.1509853999596089
iTransformer_CRR_FT01,0.25,0.25001922200551013,0.37723695766180754,1.5088318195530328,0.13112005381844938,0.14543284965020448,1.5088320970535278,nan,1.0,1.0000768880220405,1024,32,1905,0.37723695766180754
iTransformer_CRR_FT01,0.5,0.5000384440110203,0.7515970021486282,1.5030784355693738,0.25816284120082855,0.2859464471156904,1.503078579902649,nan,1.0,1.0000768880220405,1024,32,1905,0.7515970021486282
iTransformer_CRR_FT01,1.0,1.0000768880220405,1.4778358675539494,1.4777222484131436,0.48688471131026745,0.5360899238855015,1.4777222871780396,nan,1.0,1.0000768880220405,1024,32,1905,1.4778358675539494
PatchTST,-1.0,-1.0000768880220405,0.0,-0.0,1.0000768899917603,1.0000768870359522,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
PatchTST,-0.5,-0.5000384440110203,0.0,-0.0,0.5000384449958801,0.5000384435179761,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
PatchTST,-0.25,-0.25001922200551013,0.0,-0.0,0.25001922249794006,0.25001922175898805,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
PatchTST,-0.1,-0.10000768880220406,0.0,-0.0,0.10000769048929214,0.10000769131109791,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
PatchTST,0.1,0.10000768880220406,0.0,0.0,0.10000769048929214,0.10000769131109791,0.0,nan,0.0,1.0000768880220405,1024,32,1905,0.0
